molecule_a,molecule_b,tanimoto,label_a,label_b,endpoint
IBODDUNKEPPBKW-UHFFFAOYSA-N,ULTHEAFYOOPTTB-UHFFFAOYSA-N,0.875,0.0,1.0,SR-ARE
BBMCTIGTTCKYKF-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
OSOIQJGOYGSIMF-UHFFFAOYSA-N,SXVPOSFURRDKBO-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
IIYFAKIEWZDVMP-UHFFFAOYSA-N,DIOQZVSQGTUSAI-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
LQZZUXJYWNFBMV-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
KBPLFHHGFOOTCA-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
UUMLTINZBQPNGF-UHFFFAOYSA-N,NTHXOOBQLCIOLC-UHFFFAOYSA-N,0.8837209302325582,1.0,0.0,SR-ARE
GLDOVTGHNKAZLK-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
DIOQZVSQGTUSAI-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,0.875,1.0,0.0,SR-ARE
DIOQZVSQGTUSAI-UHFFFAOYSA-N,NDJKXXJCMXVBJW-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
DIOQZVSQGTUSAI-UHFFFAOYSA-N,YCOZIPAWZNQLMR-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
DIOQZVSQGTUSAI-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
DIOQZVSQGTUSAI-UHFFFAOYSA-N,RSJKGSCJYJTIGS-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
DIOQZVSQGTUSAI-UHFFFAOYSA-N,BGHCVCJVXZWKCC-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
SXVPOSFURRDKBO-UHFFFAOYSA-N,BGTOWKSIORTVQH-UHFFFAOYSA-N,0.9090909090909091,1.0,0.0,SR-ARE
ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,PXUULQAPEKKVAH-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
HFHDHCJBZVLPGP-RWMJIURBSA-N,GDSRMADSINPKSL-HSEONFRVSA-N,1.0,1.0,0.0,SR-ARE
HFHDHCJBZVLPGP-RWMJIURBSA-N,WHGYBXFWUBPSRW-FOUAGVGXSA-N,1.0,1.0,0.0,SR-ARE
ZWRUINPWMLAQRD-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ARE
AMQJEAYHLZJPGS-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,0.9230769230769231,0.0,1.0,SR-ARE
RIKCMEDSBFQFAL-UHFFFAOYSA-N,QFOHBWFCKVYLES-UHFFFAOYSA-N,0.8666666666666667,0.0,1.0,SR-ARE
BXWNKGSJHAJOGX-UHFFFAOYSA-N,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
BXWNKGSJHAJOGX-UHFFFAOYSA-N,KJIOQYGWTQBHNH-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ARE
ZTJORNVITHUQJA-UHFFFAOYSA-N,QFOHBWFCKVYLES-UHFFFAOYSA-N,0.8666666666666667,0.0,1.0,SR-ARE
QPCDCPDFJACHGM-UHFFFAOYSA-N,KCXVZYZYPLLWCC-UHFFFAOYSA-N,0.9333333333333333,1.0,0.0,SR-ATAD5
DJRKHTCUXRGYEU-UHFFFAOYSA-N,UBRIHZOFEJHMIT-UHFFFAOYSA-N,0.875,1.0,0.0,SR-ATAD5
MBNSKHJDYXPONL-UHFFFAOYSA-N,QFOHBWFCKVYLES-UHFFFAOYSA-N,0.8666666666666667,0.0,1.0,SR-ATAD5
MBNSKHJDYXPONL-UHFFFAOYSA-N,ZNSSPLQZSUWFJT-UHFFFAOYSA-N,0.9655172413793104,0.0,1.0,SR-ATAD5
MBNSKHJDYXPONL-UHFFFAOYSA-N,ULULAZKOCFNOIM-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ATAD5
QFOHBWFCKVYLES-UHFFFAOYSA-N,ZTJORNVITHUQJA-UHFFFAOYSA-N,0.8666666666666667,1.0,0.0,SR-ATAD5
QFOHBWFCKVYLES-UHFFFAOYSA-N,RIKCMEDSBFQFAL-UHFFFAOYSA-N,0.8666666666666667,1.0,0.0,SR-ATAD5
QFOHBWFCKVYLES-UHFFFAOYSA-N,BAYSQTBAJQRACX-UHFFFAOYSA-N,0.8666666666666667,1.0,0.0,SR-ATAD5
ZTJORNVITHUQJA-UHFFFAOYSA-N,ZNSSPLQZSUWFJT-UHFFFAOYSA-N,0.9655172413793104,0.0,1.0,SR-ATAD5
ZTJORNVITHUQJA-UHFFFAOYSA-N,ULULAZKOCFNOIM-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ATAD5
ZNSSPLQZSUWFJT-UHFFFAOYSA-N,RIKCMEDSBFQFAL-UHFFFAOYSA-N,0.9655172413793104,1.0,0.0,SR-ATAD5
ZNSSPLQZSUWFJT-UHFFFAOYSA-N,BAYSQTBAJQRACX-UHFFFAOYSA-N,0.9655172413793104,1.0,0.0,SR-ATAD5
KEQFTVQCIQJIQW-UHFFFAOYSA-N,VETPHHXZEJAYOB-UHFFFAOYSA-N,0.9047619047619048,1.0,0.0,SR-ATAD5
RIKCMEDSBFQFAL-UHFFFAOYSA-N,ULULAZKOCFNOIM-UHFFFAOYSA-N,1.0,0.0,1.0,SR-ATAD5
ULULAZKOCFNOIM-UHFFFAOYSA-N,BAYSQTBAJQRACX-UHFFFAOYSA-N,1.0,1.0,0.0,SR-ATAD5
XJKSTNDFUHDPQJ-UHFFFAOYSA-N,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,0.9,1.0,0.0,SR-ATAD5
LDVVBLGHGCHZBJ-UHFFFAOYSA-N,RVEJOWGVUQQIIZ-UHFFFAOYSA-N,1.0,1.0,0.0,SR-MMP
SXVPOSFURRDKBO-UHFFFAOYSA-N,OSOIQJGOYGSIMF-UHFFFAOYSA-N,1.0,0.0,1.0,SR-MMP
WTFXJFJYEJZMFO-UHFFFAOYSA-N,XDRYMKDFEDOLFX-UHFFFAOYSA-N,0.88,0.0,1.0,SR-MMP
RVEJOWGVUQQIIZ-UHFFFAOYSA-N,ILQHIGIKULUQFQ-UHFFFAOYSA-N,1.0,0.0,1.0,SR-MMP
RVEJOWGVUQQIIZ-UHFFFAOYSA-N,DCLKMMFVIGOXQN-UHFFFAOYSA-N,1.0,0.0,1.0,SR-MMP
RVEJOWGVUQQIIZ-UHFFFAOYSA-N,WXMVWUBWIHZLMQ-UHFFFAOYSA-N,1.0,0.0,1.0,SR-MMP
RVEJOWGVUQQIIZ-UHFFFAOYSA-N,BMKLRPQTYXVGNK-UHFFFAOYSA-N,1.0,0.0,1.0,SR-MMP
SIHFYNZIBKOFFK-UHFFFAOYSA-N,AMKUSFIBHAUBIJ-UHFFFAOYSA-N,1.0,1.0,0.0,SR-MMP
VICYBMUVWHJEFT-UHFFFAOYSA-N,GLFDLEXFOHUASB-UHFFFAOYSA-N,1.0,0.0,1.0,SR-MMP
VICYBMUVWHJEFT-UHFFFAOYSA-N,RLGQACBPNDBWTB-UHFFFAOYSA-N,1.0,0.0,1.0,SR-MMP
JLYXXMFPNIAWKQ-SHFUYGGZSA-N,JLYXXMFPNIAWKQ-CDRYSYESSA-N,1.0,1.0,0.0,SR-MMP
HPXRVTGHNJAIIH-UHFFFAOYSA-N,SFVWPXMPRCIVOK-UHFFFAOYSA-N,1.0,0.0,1.0,SR-MMP
JHIVVAPYMSGYDF-UHFFFAOYSA-N,OSOIQJGOYGSIMF-UHFFFAOYSA-N,1.0,0.0,1.0,SR-MMP
SFVWPXMPRCIVOK-UHFFFAOYSA-N,XCIXKGXIYUWCLL-UHFFFAOYSA-N,0.9090909090909091,1.0,0.0,SR-MMP
VTIMKVIDORQQFA-UHFFFAOYSA-N,RWPICVVBGZBXNA-UHFFFAOYSA-N,0.8823529411764706,1.0,0.0,SR-MMP
LHRCREOYAASXPZ-UHFFFAOYSA-N,DXBHBZVCASKNBY-UHFFFAOYSA-N,0.8888888888888888,0.0,1.0,SR-MMP
RGOVYLWUIBMPGK-UHFFFAOYSA-N,OPZKBPQVWDSATI-KHPPLWFESA-N,0.8666666666666667,0.0,1.0,SR-MMP
OSOIQJGOYGSIMF-UHFFFAOYSA-N,BGTOWKSIORTVQH-UHFFFAOYSA-N,0.9090909090909091,1.0,0.0,SR-MMP
SIDINRCMMRKXGQ-UHFFFAOYSA-N,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,1.0,0.0,1.0,SR-p53
PCIUEQPBYFRTEM-UHFFFAOYSA-N,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,1.0,0.0,1.0,SR-p53
IYJMSDVSVHDVGT-PEQKVOOWSA-N,LTMHDMANZUZIPE-PUGKRICDSA-N,0.9113924050632911,0.0,1.0,SR-p53
ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,1.0,0.0,1.0,SR-p53
LHRCREOYAASXPZ-UHFFFAOYSA-N,DXBHBZVCASKNBY-UHFFFAOYSA-N,0.8888888888888888,1.0,0.0,SR-p53
SNGREZUHAYWORS-UHFFFAOYSA-N,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,1.0,0.0,1.0,SR-p53
UZUFPBIDKMEQEQ-UHFFFAOYSA-N,PXUULQAPEKKVAH-UHFFFAOYSA-N,1.0,1.0,0.0,SR-p53
LVNDUJYMLJDECN-UHFFFAOYSA-N,MKARNSWMMBGSHX-UHFFFAOYSA-N,0.9230769230769231,0.0,1.0,ames_mutagenicity
MTHSVFCYNBDYFN-UHFFFAOYSA-N,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,0.9090909090909091,0.0,1.0,ames_mutagenicity
AGJGKJUQUHGXAD-UHFFFAOYSA-N,NZUXZRQDALAVFF-UHFFFAOYSA-N,0.85,0.0,1.0,ames_mutagenicity
KEBNCTLOOPZUKN-UHFFFAOYSA-N,QGQILXBVXCHHOM-UHFFFAOYSA-N,0.8857142857142857,1.0,0.0,ames_mutagenicity
RRQYJINTUHWNHW-UHFFFAOYSA-N,LZDKZFUFMNSQCJ-UHFFFAOYSA-N,0.9090909090909091,0.0,1.0,ames_mutagenicity
FKTKBFVVAFESPW-UHFFFAOYSA-N,QWENODQIHKWVQV-UHFFFAOYSA-N,0.85,1.0,0.0,ames_mutagenicity
VLJLXEKIAALSJE-UHFFFAOYSA-N,ZWAJLVLEBYIOTI-UHFFFAOYSA-N,0.9166666666666666,0.0,1.0,ames_mutagenicity
QUKHXYOCZZVRPT-UHFFFAOYSA-N,XKMGFZSDQKZVAD-UHFFFAOYSA-N,0.8571428571428571,0.0,1.0,ames_mutagenicity
UTGQNNCQYDRXCH-UHFFFAOYSA-N,DMBHHRLKUKUOEG-UHFFFAOYSA-N,0.9230769230769231,1.0,0.0,ames_mutagenicity
RZVHIXYEVGDQDX-UHFFFAOYSA-N,YLQWCDOCJODRMT-UHFFFAOYSA-N,0.9230769230769231,1.0,0.0,ames_mutagenicity
JKCATVQPENLMQJ-UHFFFAOYSA-N,IFCBMPOMNSORDG-UHFFFAOYSA-N,0.8947368421052632,0.0,1.0,ames_mutagenicity
SKXCLBMELDCBLB-UHFFFAOYSA-N,KTBMNVXAXVLZKK-UHFFFAOYSA-N,0.86,1.0,0.0,ames_mutagenicity
SBZXBUIDTXKZTM-UHFFFAOYSA-N,YFNKIDBQEZZDLK-UHFFFAOYSA-N,1.0,0.0,1.0,ames_mutagenicity
GUZQAKDCZSMXGS-UHFFFAOYSA-N,KTBMNVXAXVLZKK-UHFFFAOYSA-N,0.9130434782608695,1.0,0.0,ames_mutagenicity
OVVJZWNHLPSJOT-UHFFFAOYSA-N,PWYBEZFEEJBETN-UHFFFAOYSA-N,1.0,0.0,1.0,ames_mutagenicity
MJYUMWOKEJNYEM-FMIVXFBMSA-N,CUYJTAUCYGHYLW-KPKJPENVSA-N,0.8823529411764706,1.0,0.0,ames_mutagenicity
HMRCUZKZSWJZCY-UHFFFAOYSA-N,UDBRORAOPVVTME-UHFFFAOYSA-N,1.0,1.0,0.0,ames_mutagenicity
VYZCFAPUHSSYCC-UHFFFAOYSA-N,VRLPHBSFRWMMPW-UHFFFAOYSA-N,0.8571428571428571,0.0,1.0,ames_mutagenicity
KEQFTVQCIQJIQW-UHFFFAOYSA-N,VETPHHXZEJAYOB-UHFFFAOYSA-N,0.9047619047619048,0.0,1.0,ames_mutagenicity
HFACYLZERDEVSX-UHFFFAOYSA-N,JZIAOTUERDUSJC-UHFFFAOYSA-N,1.0,1.0,0.0,ames_mutagenicity
GAMOPGGZIQWBEM-UHFFFAOYSA-N,OJNVQVXKXBOSSW-UHFFFAOYSA-N,0.8787878787878788,0.0,1.0,ames_mutagenicity
MLBDNMLMTHXYQX-UHFFFAOYSA-N,FLEWLXKAEGLVCO-UHFFFAOYSA-N,0.8846153846153846,1.0,0.0,ames_mutagenicity
VMSIYTPWZLSMOH-HNNXBMFYSA-N,JPEGUDKOYOIOOP-VIFPVBQESA-N,1.0,0.0,1.0,ames_mutagenicity
RPNUMPOLZDHAAY-UHFFFAOYSA-N,VILCJCGEZXAXTO-UHFFFAOYSA-N,0.9090909090909091,0.0,1.0,ames_mutagenicity
RPNUMPOLZDHAAY-UHFFFAOYSA-N,FAGUFWYHJQFNRV-UHFFFAOYSA-N,0.9090909090909091,0.0,1.0,ames_mutagenicity
RPNUMPOLZDHAAY-UHFFFAOYSA-N,LSHROXHEILXKHM-UHFFFAOYSA-N,0.9090909090909091,0.0,1.0,ames_mutagenicity
OENHQHLEOONYIE-JLTXGRSLSA-N,DFMMVLFMMAQXHZ-DOKBYWHISA-N,0.868421052631579,1.0,0.0,ames_mutagenicity
NQRLPDFELNCFHW-UHFFFAOYSA-N,TVTYZKKMZDWSGM-UHFFFAOYSA-N,0.8928571428571429,0.0,1.0,ames_mutagenicity
CEGMAHGFHZKAKC-UDWIEESQSA-N,QYXWWPPWWKUXIF-YBFXNURJSA-N,0.851063829787234,0.0,1.0,ames_mutagenicity
XHUCGUZYMJDQMH-UHFFFAOYSA-N,JSNXRAUQMWIZHM-UHFFFAOYSA-N,0.8709677419354839,1.0,0.0,ames_mutagenicity
BZGCNHUWISZVPK-UHFFFAOYSA-N,UBAQDYYJIKENDK-UHFFFAOYSA-N,0.88,0.0,1.0,ames_mutagenicity
BZGCNHUWISZVPK-UHFFFAOYSA-N,BEDXVQSNPCSGHA-UHFFFAOYSA-N,0.8846153846153846,0.0,1.0,ames_mutagenicity
CPLRXCSJNHIVBJ-UHFFFAOYSA-N,OLIREEQLDRWVHQ-UHFFFAOYSA-N,0.9090909090909091,0.0,1.0,ames_mutagenicity
QBSMHWVGUPQNJJ-UHFFFAOYSA-N,JZIAOTUERDUSJC-UHFFFAOYSA-N,1.0,1.0,0.0,ames_mutagenicity
YYGRIGYJXSQDQB-UHFFFAOYSA-N,DXBHBZVCASKNBY-UHFFFAOYSA-N,0.9,0.0,1.0,ames_mutagenicity
MELPJGOMEMRMPL-UHFFFAOYSA-N,ZWAJLVLEBYIOTI-UHFFFAOYSA-N,0.9166666666666666,0.0,1.0,ames_mutagenicity
JPEGUDKOYOIOOP-UHFFFAOYSA-N,VMSIYTPWZLSMOH-UHFFFAOYSA-N,1.0,1.0,0.0,ames_mutagenicity
RAQYRKOGKCJIAP-UHFFFAOYSA-N,HGJOQONKWSVYMB-UHFFFAOYSA-N,0.9302325581395349,0.0,1.0,ames_mutagenicity
WKACBUXBZNZZLC-UHFFFAOYSA-N,DTCDZJFAHXOXHY-UHFFFAOYSA-N,0.9583333333333334,1.0,0.0,ames_mutagenicity
KTBMNVXAXVLZKK-UHFFFAOYSA-N,QBHRVJNBKGTANH-UHFFFAOYSA-N,0.86,0.0,1.0,ames_mutagenicity
KEUDSEVKQLCNHV-LICLKQGHSA-N,JZILBASEJOVGQO-OEAKJJBVSA-N,0.8571428571428571,1.0,0.0,ames_mutagenicity
GDOFSSKHUKPELW-UHFFFAOYSA-N,IWQGPODHFRYDTL-UHFFFAOYSA-N,0.8648648648648649,1.0,0.0,herg_blockade
GDOFSSKHUKPELW-UHFFFAOYSA-N,YCVCMJDYPSNZTE-UHFFFAOYSA-N,0.8533333333333334,1.0,0.0,herg_blockade
VQYHTDATYUEUAC-YAWCOSQYSA-N,ZHEWFNDKFYBUDO-SGUQQXKUSA-N,0.8552631578947368,0.0,1.0,herg_blockade
SQSFWPVYWBTHEX-UHFFFAOYSA-N,GYZLMHZBYPNULH-UHFFFAOYSA-N,0.8636363636363636,1.0,0.0,herg_blockade
LZSBNYPDVQHPAO-VQHVLOKHSA-N,OCUGVNIZKXOPTO-VQHVLOKHSA-N,0.9333333333333333,1.0,0.0,herg_blockade
AEHATJSZWAWZQR-AQYVVDRMSA-N,AEHATJSZWAWZQR-GRGXKFILSA-N,1.0,0.0,1.0,herg_blockade
FKMYXQCCIDUXCG-UHFFFAOYSA-N,MZQWCIIFQKKAQS-UHFFFAOYSA-N,0.8695652173913043,1.0,0.0,herg_blockade
BGXXKJRUEAILQH-SFHVURJKSA-N,BGXXKJRUEAILQH-UHFFFAOYSA-N,0.9054054054054054,1.0,0.0,herg_blockade
DVTXANDPYZUJRD-LIONHTAISA-N,QETUKYDWZIRTEI-QUMGSSFMSA-N,0.881578947368421,1.0,0.0,herg_blockade
DFXJFEAHWLUMQK-XZOQPEGZSA-N,VWNBOOIWICWEPL-BJKOFHAPSA-N,0.9154929577464789,1.0,0.0,herg_blockade
NYJAEHSMFKSYTL-WEMJSJANSA-N,RQGMERBQAHFFKO-BJHZDCIISA-N,0.8611111111111112,0.0,1.0,herg_blockade
LSHIKKCNCJHIFH-UHFFFAOYSA-N,CQPCSTONSYLHIT-UHFFFAOYSA-N,0.85,0.0,1.0,herg_blockade
ACYSIZUFQATBIE-JPJDGNMPSA-N,FLTLUXCGVBUQLQ-TZLNSBNCSA-N,0.8928571428571429,0.0,1.0,herg_blockade
SDQZRJQWIQHIKN-UHFFFAOYSA-N,LKKIXTRVSFNACN-UHFFFAOYSA-N,0.891566265060241,1.0,0.0,herg_blockade
KOKMRCHGGOOAKB-UHFFFAOYSA-N,WGDQLOTYIWHCHS-UHFFFAOYSA-N,0.8823529411764706,0.0,1.0,herg_blockade
OCUGVNIZKXOPTO-VQHVLOKHSA-N,BHTGEWHBEIZLOP-VQHVLOKHSA-N,0.8666666666666667,0.0,1.0,herg_blockade
OCUGVNIZKXOPTO-VQHVLOKHSA-N,FHJQISPBEYPYDY-VQHVLOKHSA-N,0.9,0.0,1.0,herg_blockade
SJDGJJBCJRAOQW-UHFFFAOYSA-N,NOBSINPJDRJYCC-UHFFFAOYSA-N,0.9807692307692307,0.0,1.0,herg_blockade
GZUSVUQRHJTPRP-UHFFFAOYSA-N,QPZONUSLAYKZNN-UHFFFAOYSA-N,0.9032258064516129,1.0,0.0,herg_blockade
VYGLNPIKDOAMBL-UHFFFAOYSA-N,DXIJUOOAQKSDNE-UHFFFAOYSA-N,0.8571428571428571,1.0,0.0,herg_blockade
NIXGLUUBKBAMFX-UHFFFAOYSA-N,USOQNEJBIDGMCF-UHFFFAOYSA-N,0.9803921568627451,0.0,1.0,herg_blockade
FVPWVSLYNHVZAW-LSNLESRRSA-N,KODLQRCYGZOTLD-MGFGWZDJSA-N,0.8648648648648649,0.0,1.0,herg_blockade
FVPWVSLYNHVZAW-LSNLESRRSA-N,PUBORNZQLOKYKZ-LSNLESRRSA-N,0.863013698630137,0.0,1.0,herg_blockade
XVTZPWHNTXWCMM-QFIPXVFZSA-N,JDTCZRQCZFSKET-SFTDATJTSA-N,0.863013698630137,1.0,0.0,herg_blockade
BLMUTZYJPAPONW-UHFFFAOYSA-N,SZLKARMZUAFJQJ-UHFFFAOYSA-N,0.85,1.0,0.0,herg_blockade
DVTXANDPYZUJRD-UHFFFAOYSA-N,QETUKYDWZIRTEI-UHFFFAOYSA-N,0.8767123287671232,1.0,0.0,herg_blockade
DFJHHZAILUSFCZ-UHFFFAOYSA-N,DFJHHZAILUSFCZ-XMMPIXPASA-N,0.8524590163934426,1.0,0.0,herg_blockade
DFJHHZAILUSFCZ-UHFFFAOYSA-N,DFJHHZAILUSFCZ-DEOSSOPVSA-N,0.8524590163934426,1.0,0.0,herg_blockade
YUEGLCQPVJBWJR-UHFFFAOYSA-N,YQCCGONOJRNVPI-UHFFFAOYSA-N,0.8548387096774194,1.0,0.0,herg_blockade
XKBGQXMBRCPCCL-UHFFFAOYSA-N,VISZXWKIWZTHGH-UHFFFAOYSA-N,0.8620689655172413,1.0,0.0,herg_blockade
FFHBRHCAYNKEBM-UHFFFAOYSA-N,VKTPKSCHNKUPDR-UHFFFAOYSA-N,0.8787878787878788,1.0,0.0,herg_blockade
FFHBRHCAYNKEBM-UHFFFAOYSA-N,HUZRXZVIBUNCKL-UHFFFAOYSA-N,0.8787878787878788,1.0,0.0,herg_blockade
FFHBRHCAYNKEBM-UHFFFAOYSA-N,QQURUBZIWQUADK-UHFFFAOYSA-N,0.9508196721311475,1.0,0.0,herg_blockade
NMFHKIRUHWFKKA-UHFFFAOYSA-N,LTSBRJXQVVZDJZ-UHFFFAOYSA-N,0.85,0.0,1.0,herg_blockade
ZVHIYNJZANDKEG-UHFFFAOYSA-N,ZFMRDRXPXZUHDB-UHFFFAOYSA-N,0.85,0.0,1.0,herg_blockade
QBNGVEBGOIDQEP-JXFKEZNVSA-N,QBNGVEBGOIDQEP-OXJNMPFZSA-N,0.8666666666666667,1.0,0.0,herg_blockade
DJPAKBMZZYZGIM-GFCCVEGCSA-N,XLBVREOEQLOFGF-CYBMUJFWSA-N,0.8656716417910447,0.0,1.0,herg_blockade
JVBGFQFFBPVDIF-QGZVFWFLSA-N,HFMINNRJWTYEAA-HXUWFJFHSA-N,0.8571428571428571,1.0,0.0,herg_blockade
BKKKDPHEAHYCEP-DFZDUAMZSA-N,QTMUIOFRNWYQBV-RGODFAACSA-N,0.8732394366197183,1.0,0.0,herg_blockade
XXWFSNOROXVFAO-UHFFFAOYSA-N,JYULPTUAHQIXEE-UHFFFAOYSA-N,0.8571428571428571,1.0,0.0,herg_blockade
NZDIBDNGFSKVTN-UHFFFAOYSA-N,NOBSINPJDRJYCC-UHFFFAOYSA-N,0.9807692307692307,0.0,1.0,herg_blockade
PQAMCOCBWGNJOS-UHFFFAOYSA-N,YMXQLZMDAPPYKA-UHFFFAOYSA-N,0.8615384615384616,1.0,0.0,herg_blockade
FMROLDYZPAJDIZ-UHFFFAOYSA-N,ITCCUUDZMVHYGN-UHFFFAOYSA-N,0.859375,1.0,0.0,herg_blockade
PNWDQZAYKCIQKW-IBGZPJMESA-N,HXZFVRVFLVJAIU-FQEVSTJZSA-N,0.9193548387096774,0.0,1.0,herg_blockade
QBYYFLZCKXHEJS-UHFFFAOYSA-N,QQZPUNRRFIGWLK-UHFFFAOYSA-N,0.85,1.0,0.0,herg_blockade
QBYYFLZCKXHEJS-UHFFFAOYSA-N,HXYLVVVEGCWIII-UHFFFAOYSA-N,0.864406779661017,1.0,0.0,herg_blockade
ZMCNDHKXQWQHCC-VVONHTQRSA-N,PIINFVJVFRCBPD-CIEDQVTBSA-N,0.859375,1.0,0.0,herg_blockade
CMRWSKARFINBQJ-UHFFFAOYSA-N,SQWOELHNEXCBOD-UHFFFAOYSA-N,0.8769230769230769,1.0,0.0,herg_blockade
LMQOZGSVTQQPFU-LRDDRELGSA-N,LMQOZGSVTQQPFU-WBMJQRKESA-N,0.8666666666666667,1.0,0.0,herg_blockade
FUWJHMHDKQKGCZ-UHFFFAOYSA-N,GTHLYJPWZLZDPE-UHFFFAOYSA-N,0.9310344827586207,0.0,1.0,herg_blockade
FUWJHMHDKQKGCZ-UHFFFAOYSA-N,RVBJTTMGDQOZRW-UHFFFAOYSA-N,0.9310344827586207,0.0,1.0,herg_blockade
