endpoint,scaffold,records,positives,prevalence
SR-ARE,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,6,0,0.0
SR-ARE,C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,6,0,0.0
SR-ARE,C=C(c1ccccc1)c1ccccc1,6,4,0.8
SR-ARE,O=C1CC=NN1c1ccccc1,6,0,0.0
SR-ARE,O=C1CCC(=O)O1,6,3,0.75
SR-ARE,O=C1OC(=O)c2ccccc21,6,0,0.0
SR-ARE,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,6,3,0.75
SR-ARE,O=c1[nH]c(=O)[nH]c(=O)[nH]1,6,0,0.0
SR-ARE,O=c1cc[nH]c(=O)[nH]1,6,0,0.0
SR-ARE,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,6,1,0.25
SR-ARE,O=c1ncccn1C1CCCO1,6,0,0.0
SR-ARE,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,6,1,0.25
SR-ARE,c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,6,0,0.0
SR-ARE,c1ccc(Nc2ccccn2)cc1,6,0,0.0
SR-ARE,c1ccc2c(c1)CCO2,6,1,0.16666666666666666
SR-ARE,c1ccc2c(c1)CCc1ccccc1N2,6,0,0.0
SR-ARE,c1ccc2cnncc2c1,6,2,0.3333333333333333
SR-ARE,C1=C2CCC3C4CCCC4CCC3C2CCC1,5,2,0.5
SR-ARE,C1=C2c3cccc4[nH]cc(c34)CC2NCC1,5,0,0.0
SR-ARE,C1=CC2C3Cc4cccc5c4C2(CCN3)C(C1)O5,5,1,1.0
SR-ARE,C1CCC(OC2CCCO2)OC1,5,0,0.0
SR-ARE,C1COCOC1,5,0,0.0
SR-ARE,N=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1,5,0,0.0
SR-ARE,O=C(Cc1ccccc1)c1ccccc1,5,0,0.0
SR-ARE,O=C(NC(=O)c1ccccc1)Nc1ccccc1,5,0,0.0
SR-ARE,O=C(Nc1ccccc1)Nc1ccccc1,5,2,1.0
SR-ARE,O=C(Nc1ncncn1)NS(=O)(=O)c1ccccc1,5,0,0.0
SR-ARE,O=C(OC1CC2CCC(C1)N2)c1ccccc1,5,0,0.0
SR-ARE,O=C(OCc1ccccc1)c1ccccc1,5,0,0.0
SR-ARE,O=C1C=C2C=CC3C4CCCC4CCC3C2CC1,5,3,1.0
SR-ARE,O=C1C=CC(=O)c2ccccc21,5,2,0.6666666666666666
SR-ARE,O=C1C=CCO1,5,1,0.3333333333333333
SR-ARE,O=C1CCCC1,5,0,0.0
SR-ARE,O=C1CCCCO1,5,0,0.0
SR-ARE,O=C1CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CCSSCC(C(=O)N2CCCC2)NC(=O)CN1,5,0,0.0
SR-ARE,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,5,0,0.0
SR-ARE,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,5,2,1.0
SR-ARE,O=S(=O)(Nc1ccncn1)c1ccccc1,5,0,0.0
SR-ARE,O=S(=O)(Nc1nncs1)c1ccccc1,5,1,0.2
SR-ARE,O=[PH](Oc1ccccc1)Oc1ccccc1,5,0,0.0
SR-ARE,O=c1c(-c2ccccc2)coc2ccccc12,5,4,1.0
SR-ARE,[N+]=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,5,1,0.3333333333333333
SR-ARE,c1ccc(C2CCNCC2)cc1,5,0,0.0
SR-ARE,c1ccc(CC2CCCCC2)cc1,5,0,0.0
SR-ARE,c1ccc(CCNCCc2ccccc2)cc1,5,0,0.0
SR-ARE,c1ccc(CCn2cncn2)cc1,5,1,0.3333333333333333
SR-ARE,c1ccc(COc2ccccc2)cc1,5,2,0.5
SR-ARE,c1ccc(Oc2ccccn2)cc1,5,0,0.0
SR-ARE,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,5,0,0.0
SR-ARE,c1ccc2c(c1)CCCC2,5,0,0.0
SR-ARE,c1ccc2c(c1)CCCO2,5,1,0.25
SR-ARE,c1cn[nH]c1,5,0,0.0
SR-ARE,c1ncc2nc[nH]c2n1,5,2,0.5
SR-ARE,C1=C2CCCCC2C2CCC3CCCC3C2C1,4,2,0.6666666666666666
SR-ARE,C1=CCCC=C1,4,0,0.0
SR-ARE,C1=CNCN1,4,0,0.0
SR-ARE,C1CCC(CC2CCCCC2)CC1,4,0,0.0
SR-ARE,C1CC[NH2+]CC1,4,0,0.0
SR-ARE,C=C1CC2CCC1C2,4,2,0.5
SR-ARE,O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,4,0,0.0
SR-ARE,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,4,1,0.5
SR-ARE,O=C(NCC1CCCCO1)C1CCCN1,4,0,0.0
SR-ARE,O=C(NN=Cc1ccccc1)c1ccncc1,4,0,0.0
SR-ARE,O=C(c1ccccc1)c1coc2ccccc12,4,0,0.0
SR-ARE,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCC(OC8CCCCO8)CO7)CO6)CO5)CC4CCC23)CO1,4,0,
SR-ARE,O=C1C=C2CCC3C(=C2CC1)C=CC1CCCC13,4,2,1.0
SR-ARE,O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,4,2,0.6666666666666666
SR-ARE,O=C1CCC2C1CCC1C3CCCCC3=CCC21,4,0,
SR-ARE,O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,4,0,0.0
SR-ARE,O=C1CCCc2ccccc21,4,0,0.0
SR-ARE,O=C1NC(=O)C2CC=CCC12,4,1,0.3333333333333333
SR-ARE,O=C1NCCN1,4,0,0.0
SR-ARE,O=C1c2ccccc2C(=O)C1c1ccccc1,4,0,0.0
SR-ARE,O=S(=O)(Nc1ccccc1)c1ccccc1,4,0,0.0
SR-ARE,O=S1(=O)OC(c2ccccc2)(c2ccccc2)c2ccccc21,4,0,0.0
SR-ARE,O=c1[nH]c2ccccc2o1,4,2,0.5
SR-ARE,O=c1cc[nH]c(=S)[nH]1,4,0,0.0
SR-ARE,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,4,0,0.0
SR-ARE,O=c1ccc2cc3ccoc3cc2o1,4,0,0.0
SR-ARE,O=c1ccocc1,4,0,0.0
SR-ARE,O=c1ccs[nH]1,4,0,0.0
SR-ARE,c1cc2c3c(c[nH]c3c1)CC1NCCCC21,4,0,0.0
SR-ARE,c1ccc(-c2cscn2)cc1,4,3,1.0
SR-ARE,c1ccc(-n2nc3ccccc3n2)cc1,4,0,0.0
SR-ARE,c1ccc(C2CCCC2)cc1,4,1,0.3333333333333333
SR-ARE,c1ccc(C2CCCCC2)cc1,4,0,0.0
SR-ARE,c1ccc(CCCNCCc2ccccc2)cc1,4,0,0.0
SR-ARE,c1ccc(CCNCCOc2ccccc2)cc1,4,0,0.0
SR-ARE,c1ccc(CNc2ccccn2)cc1,4,0,0.0
SR-ARE,c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,4,4,1.0
SR-ARE,c1ccc(Cc2cncnc2)cc1,4,0,0.0
SR-ARE,c1ccc(Cn2ccnc2)cc1,4,0,0.0
SR-ARE,c1ccc(OCC2CO2)cc1,4,0,0.0
SR-ARE,c1ccc(OCCCOc2ccccc2)cc1,4,1,0.5
SR-ARE,c1ccc2[nH]nnc2c1,4,0,0.0
SR-ARE,c1ccc2c(c1)CC1CC2CCN1,4,0,0.0
SR-ARE,c1ccc2c(c1)CC1NCCC23CCCCC13,4,0,0.0
SR-ARE,c1ccc2c(c1)CCC2,4,0,0.0
SR-ARE,c1ccc2c(c1)[nH]c1ccccc12,4,1,0.3333333333333333
SR-ARE,c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3,4,0,0.0
SR-ARE,c1ccc2nccnc2c1,4,0,0.0
SR-ARE,C(=CC=CC=CC=CC=CC1=CCCCC1)C=CC=CC=CC=CC1=CCCCC1,3,0,
SR-ARE,C(CCN1CCNCC1)=C1c2ccccc2Sc2ccccc21,3,0,
SR-ARE,C1=CC2C3C=CC(C3)C2C1,3,2,0.6666666666666666
SR-ARE,C1=CC2CC(C1)C2,3,0,0.0
SR-ARE,C1=CC2CCC1C2,3,0,0.0
SR-ARE,C1=CC2CCC3Nc4ccc(C5CC6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4C34CCN(C1)C24,3,1,1.0
SR-ARE,C1=COC(OC2CCCC(OC3CCCCO3)C2)CC1,3,0,0.0
SR-ARE,C1=COCCC1,3,0,0.0
SR-ARE,C1=Cc2ccccc2C1=Cc1ccccc1,3,1,1.0
SR-ARE,C1C2CC3CC1CC(C2)C3,3,0,0.0
SR-ARE,C1CC2C3CCC(C3)C2C1,3,1,0.3333333333333333
SR-ARE,C1CC2CCOC3OC4CCC(C1)C23OO4,3,0,0.0
SR-ARE,C1CC2OCCC2O1,3,0,0.0
SR-ARE,C1CC2OCOC2O1,3,0,0.0
SR-ARE,C1CCC(C2CCCCC2)CC1,3,0,0.0
SR-ARE,C1CCC1,3,1,0.3333333333333333
SR-ARE,C1CCC2CCCCC2C1,3,0,0.0
SR-ARE,C1CCCCCCCCCCC1,3,1,0.3333333333333333
SR-ARE,C1CCCNCC1,3,0,0.0
SR-ARE,C1CCCNCCC1,3,0,0.0
SR-ARE,C1CC[NH2+]C1,3,0,0.0
SR-ARE,C1COCCO1,3,0,0.0
SR-ARE,O=C(C=Cc1ccccc1)c1ccccc1,3,2,0.6666666666666666
SR-ARE,O=C(CCN1CCCCC1)c1ccccc1,3,3,1.0
SR-ARE,O=C(CCc1ccccc1)c1ccccc1,3,1,0.5
SR-ARE,O=C(CNCCCc1ccccc1)N1CCCC1,3,0,0.0
SR-ARE,O=C(CNCCCc1ccccc1)N1CCc2ccccc2C1,3,0,0.0
SR-ARE,O=C(Cc1ccccc1)OC1CC2CCC(C1)[NH2+]2,3,0,0.0
SR-ARE,O=C(Cc1ccccc1)OC1CC2[NH2+]C(C1)C1OC21,3,0,0.0
SR-ARE,O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1,3,0,0.0
SR-ARE,O=C(NNC(=O)c1ccccc1)c1ccccc1,3,1,0.3333333333333333
SR-ARE,O=C(Nc1ccccc1)C1CCCCN1,3,0,0.0
SR-ARE,O=C(OC1CCC2CC3c4[nH]c5ccccc5c4CCN3CC2C1)c1ccccc1,3,0,0.0
SR-ARE,O=C(OCCCOC(=O)c1ccccc1)c1ccccc1,3,0,0.0
SR-ARE,O=C(OCCc1ccccc1)c1ccccc1,3,1,0.3333333333333333
SR-ARE,O=C(c1ccccc1)c1cccs1,3,0,0.0
SR-ARE,O=C(c1ccccc1)n1ccc2ccccc21,3,0,0.0
SR-ARE,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)CO1,3,0,
SR-ARE,O=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,3,2,0.6666666666666666
SR-ARE,O=C1C=CC(OC(=O)C2CC2)C1,3,0,
SR-ARE,O=C1C=CC2C(=C1)CCC1C3CCCC3CC(=O)C21,3,1,0.3333333333333333
SR-ARE,O=C1CC(=O)NC=N1,3,0,0.0
SR-ARE,O=C1CC(=O)c2ccccc21,3,0,0.0
SR-ARE,O=C1CCC(=O)N1,3,0,0.0
SR-ARE,O=C1CCC23CCCCCC(CCC2)C13,3,0,
SR-ARE,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,3,2,1.0
SR-ARE,O=C1CCCC(OC2CCC(OC3CCCCO3)CO2)CCCCC=CC=CCCO1,3,0,
SR-ARE,O=C1CCCCC1c1ccccc1,3,0,
SR-ARE,O=C1CCCCCN1,3,0,0.0
SR-ARE,O=C1CCN(c2ccccc2)N1,3,0,0.0
SR-ARE,O=C1CCNCC1,3,0,0.0
SR-ARE,O=C1CN(CCN2CC(=O)NC(=O)C2)CC(=O)N1,3,0,0.0
SR-ARE,O=C1CN=C(c2ccccn2)N1,3,0,0.0
SR-ARE,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,3,0,
SR-ARE,O=C1NC(=O)C(c2ccccc2)C(=O)N1,3,0,0.0
SR-ARE,O=C1OC(C2NCCc3cc4c(cc32)OCO4)c2ccccc21,3,0,0.0
SR-ARE,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,3,2,1.0
SR-ARE,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2,3,1,1.0
SR-ARE,O=C1OCCO1,3,0,0.0
SR-ARE,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,3,3,1.0
SR-ARE,O=S(=O)(Nc1cccnn1)c1ccccc1,3,0,0.0
SR-ARE,O=S(=O)(Nc1nccs1)c1ccccc1,3,0,0.0
SR-ARE,O=S(=O)(Oc1ccccc1)c1ccccc1,3,0,0.0
SR-ARE,O=[PH]1NCCCO1,3,0,0.0
SR-ARE,O=c1[nH]c2ccccc2n1C1CCNCC1,3,1,0.5
SR-ARE,O=c1[nH]cnc2[nH]cnc12,3,0,0.0
SR-ARE,O=c1[nH]sc2ccccc12,3,1,1.0
SR-ARE,O=c1c2ccccc2ncn1-c1ccccc1,3,0,
SR-ARE,O=c1c2ccccc2sc2ccccc12,3,1,1.0
SR-ARE,O=c1cc[nH]cn1,3,0,0.0
SR-ARE,O=c1ccc2c(-c3ccccc3)c3ccccc3oc-2c1,3,0,0.0
SR-ARE,O=c1cccnn1-c1ccccc1,3,0,0.0
SR-ARE,O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,3,0,0.0
SR-ARE,O=c1nc[nH]c2[nH]cnc12,3,0,0.0
SR-ARE,c1cc2ccc3cccc4ccc(c1)c2c34,3,1,0.5
SR-ARE,c1ccc(-c2ccc3ccccc3n2)cc1,3,0,0.0
SR-ARE,c1ccc(-c2ccnn2-c2ccccc2)cc1,3,2,0.6666666666666666
SR-ARE,c1ccc(-c2cn3ccccc3n2)cc1,3,0,0.0
SR-ARE,c1ccc(-c2conc2-c2ccccc2)cc1,3,0,0.0
SR-ARE,c1ccc(-c2nnn[nH]2)cc1,3,0,0.0
SR-ARE,c1ccc(C(c2ccccc2)c2ccccc2)cc1,3,1,0.3333333333333333
SR-ARE,c1ccc(C2(Cn3cncn3)OCCO2)cc1,3,1,0.3333333333333333
SR-ARE,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,3,0,
SR-ARE,c1ccc(C2CC2)cc1,3,0,0.0
SR-ARE,c1ccc(C2CCCc3ccccc32)cc1,3,0,
SR-ARE,c1ccc(C2CO2)cc1,3,0,0.0
SR-ARE,c1ccc(CC2=NCCN2)cc1,3,0,0.0
SR-ARE,c1ccc(CCCCc2ccccc2)cc1,3,0,0.0
SR-ARE,c1ccc(CCN2CCC(Cc3ccccc3)CC2)cc1,3,0,0.0
SR-ARE,c1ccc(CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,3,1,0.5
SR-ARE,c1ccc(CNCc2ccccc2)cc1,3,0,0.0
SR-ARE,c1ccc(CNc2ccccc2)cc1,3,0,0.0
SR-ARE,c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,3,0,0.0
SR-ARE,c1ccc(Cc2nccc3ccccc23)cc1,3,1,0.5
SR-ARE,c1ccc(Cn2ncc3ccccc32)cc1,3,1,0.5
SR-ARE,c1ccc(N=Nc2ccc3ccccc3c2)cc1,3,0,0.0
SR-ARE,c1ccc(NC2CCN(CCc3cccs3)CC2)cc1,3,2,1.0
SR-ARE,c1ccc(Nc2ccnc3ccccc23)cc1,3,1,1.0
SR-ARE,c1ccc2[nH+]cc[nH+]c2c1,3,0,0.0
SR-ARE,c1ccc2c(c1)CCCN2,3,0,0.0
SR-ARE,c1ccc2c(c1)CCc1ccccc1C2,3,0,0.0
SR-ARE,c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,3,1,0.3333333333333333
SR-ARE,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCCCC1,3,0,0.0
SR-ARE,c1ccc2cc(N=Nc3ccc(-c4ccc(N=Nc5ccc6ccccc6c5)cc4)cc3)ccc2c1,3,0,0.0
SR-ARE,c1ccc2nc3ccccc3cc2c1,3,1,1.0
SR-ARE,c1nc[nH]n1,3,0,0.0
SR-ARE,c1ncc(C[n+]2ccsc2)cn1,3,0,0.0
SR-ARE,c1ncnc(NC2CC2)n1,3,0,0.0
SR-ARE,c1nncs1,3,0,0.0
SR-ARE,C(=C1SCC(c2ccccc2)S1)n1ccnc1,2,1,0.5
SR-ARE,C(=CC1CCCC1)CCOc1ccccc1,2,0,
SR-ARE,C(=CSSC=CNCc1cncnc1)NCc1cncnc1,2,0,0.0
SR-ARE,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,2,1,0.5
SR-ARE,C(=Cc1cccs1)C1=NCCCN1,2,1,0.5
SR-ARE,C(=Cn1cncn1)c1ccccc1,2,1,0.5
SR-ARE,C(=NCc1ccccc1)c1ccccc1,2,0,0.0
SR-ARE,C(C=C1CCCC2CCCC12)=C1CCCCC1,2,0,
SR-ARE,C(CN1CCCC1)=C(c1ccccc1)c1ccccn1,2,0,0.0
SR-ARE,C1=C(c2ccccc2)CCN(CCCCc2c[nH]c3ccccc23)C1,2,0,0.0
SR-ARE,C1=C2CCCCC2CC1,2,1,0.5
SR-ARE,C1=CC(=C(c2ccccc2)c2ccc(NCc3ccccc3)cc2)C=CC1=[NH+]Cc1ccccc1,2,1,0.5
SR-ARE,C1=CC2=CCC3CCCCC3C2CC1,2,0,
SR-ARE,C1=CC2CC1C1C3C=CC(C3)C21,2,0,0.0
SR-ARE,C1=CC2CC1C1C3CC(C4OC34)C21,2,0,
SR-ARE,C1=CC2CC1C1CCCC21,2,1,1.0
SR-ARE,C1=CC2CC3CCCC3(C1)C2,2,0,0.0
SR-ARE,C1=CCC=C1,2,0,
SR-ARE,C1=Cc2ccccc2NC1,2,0,0.0
SR-ARE,C1CC1,2,0,
SR-ARE,C1CC2OC2CC1C1CO1,2,0,0.0
SR-ARE,C1CCC(NC2CCCCC2)CC1,2,0,0.0
SR-ARE,C1CCC(OC2CCCCO2)CC1,2,0,0.0
SR-ARE,C1CCC(OC2CCCOC2)OC1,2,0,0.0
SR-ARE,C1CCC(OC2OCCC2OC2CCCCO2)CC1,2,0,
SR-ARE,C1CCC2(CC1)OCCO2,2,0,0.0
SR-ARE,C1CCC2(CO2)C(C2CO2)C1,2,2,1.0
SR-ARE,C1CCC2OC2C1,2,0,0.0
SR-ARE,C1CCN(C2CCC3CCC4C5CC([NH+]6CCCCC6)CC5CCC4C3C2)CC1,2,0,0.0
SR-ARE,C1CN2CCC1CC2,2,0,0.0
SR-ARE,C1COCO1,2,0,0.0
SR-ARE,C1CSCCS1,2,0,0.0
SR-ARE,C1CSSC1,2,1,0.5
SR-ARE,C1OCOCO1,2,0,0.0
SR-ARE,C=C(C(=C)c1ccccc1)c1ccccc1,2,2,1.0
SR-ARE,C=C1C(=O)CC2C1CCC1C3CCC(=O)C=C3CCC21,2,2,1.0
SR-ARE,C=C1CCC2CC1C2,2,0,0.0
SR-ARE,C=C1c2ccccc2C(=O)C2=CC3C(=O)C=CCC3CC12,2,0,0.0
SR-ARE,C=C1c2ccccc2CCc2ccccc21,2,0,0.0
SR-ARE,C=C1c2ccccc2COc2ccccc21,2,0,0.0
SR-ARE,N=C(C(=O)NC1CNC1=O)c1cscn1,2,0,0.0
SR-ARE,N=C(Nc1ccccc1)Nc1ccccc1,2,1,0.5
SR-ARE,N=C1C=C2CCC3C4CCCC4CCC3C2CC1,2,0,0.0
SR-ARE,N=C1C=C2CCNC2=CC1=O,2,0,
SR-ARE,N=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,2,1,1.0
SR-ARE,O1[SiH2]O[SiH2]O[SiH2]O[SiH2]1,2,0,0.0
SR-ARE,O=C(C(=O)c1ccccc1)c1ccccc1,2,0,0.0
SR-ARE,O=C(C=Cc1ccccc1)Nc1ccccc1,2,0,0.0
SR-ARE,O=C(C=Cc1ccccc1)OC1CCC2CC3c4[nH]c5ccccc5c4CCN3CC2C1,2,0,
SR-ARE,O=C(CC(=O)c1ccccc1)c1ccccc1,2,1,0.5
SR-ARE,O=C(CCCC1CCCCO1)CC1CCCC2(C=CCC3(CCC(C4CCCCO4)O3)O2)O1,2,0,
SR-ARE,O=C(CCCCC(=O)Nc1ccccc1)Nc1ccccc1,2,0,0.0
SR-ARE,O=C(CCN1CCNCC1)N1c2ccccc2Sc2ccccc21,2,0,
SR-ARE,O=C(CCc1c[nH]c2ccccc12)NCC(=O)NCC(=O)NCCc1ccccc1,2,0,0.0
SR-ARE,O=C(CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1)NCC(=O)N1CCCC1,2,0,
SR-ARE,O=C(CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1)NCC(=O)N1CCCC1,2,0,0.0
SR-ARE,O=C(CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)NCC(=O)N1CCCC1,2,0,0.0
SR-ARE,O=C(CNCCCc1ccccc1)N1CCNC1=O,2,0,0.0
SR-ARE,O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1,2,0,0.0
SR-ARE,O=C(COc1ccccc1)N1CCCCC1,2,0,0.0
SR-ARE,O=C(Cc1ccccc1)NC1CCC2(CCCO2)CC1N1CCCC1,2,0,0.0
SR-ARE,O=C(Cc1ccccc1)OC1CC2CCC(C1)N2,2,0,0.0
SR-ARE,O=C(Cc1cccs1)NC1C(=O)N2C=CCSC12,2,0,0.0
