molecule_id,standardized_smiles,inchikey,scaffold,scaffold_split,random_split
IFNNFCXXDBDDHG-IUUKEHGRSA-N,N[C@H]1C[C@@H](N2Cc3nn4cccnc4c3C2)CC[C@@H]1c1cc(F)c(F)cc1F,IFNNFCXXDBDDHG-IUUKEHGRSA-N,c1ccc(C2CCC(N3Cc4nn5cccnc5c4C3)CC2)cc1,train,train
MDNZIGDKCDGDNH-UHFFFAOYSA-N,CN(C)Cc1ccccc1-c1ccc(NC(=O)Nc2cccnc2Oc2ccccc2C(C)(C)C)c(F)c1,MDNZIGDKCDGDNH-UHFFFAOYSA-N,O=C(Nc1ccc(-c2ccccc2)cc1)Nc1cccnc1Oc1ccccc1,test,train
HWTHDEITPOXGRT-QFIPXVFZSA-N,Cc1ccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)cc1,HWTHDEITPOXGRT-QFIPXVFZSA-N,O=C(Nc1ccccc1)NC1N=C(c2ccccc2)c2ccccc2NC1=O,train,test
XLNSZAXZGNXSDE-UHFFFAOYSA-N,COc1cccc(-n2cc3nc(-c4ccccc4C)n(CC4CCCN(C(C)C)C4)c(=O)c3n2)c1,XLNSZAXZGNXSDE-UHFFFAOYSA-N,O=c1c2nn(-c3ccccc3)cc2nc(-c2ccccc2)n1CC1CCCNC1,train,train
LSQZJLSUYDQPKJ-NJBDSQKTSA-N,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,train,train
SUPQPCQJBYPRPC-UHFFFAOYSA-N,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,SUPQPCQJBYPRPC-UHFFFAOYSA-N,c1ccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)cc1,train,train
RBZIHZIBFQXVQY-UHFFFAOYSA-N,Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(C2CCOCC2)n1C)CC3,RBZIHZIBFQXVQY-UHFFFAOYSA-N,c1nc2cc3c(cc2o1)CCN(CCCSc1nnc(C2CCOCC2)[nH]1)CC3,train,train
ZWGPKBUFEJFNDK-UHFFFAOYSA-N,O=c1ccc2ncc(F)c3c2n1CC3(O)CC12CCC(NCc3cc4c(nn3)OCCO4)(CC1)CO2,ZWGPKBUFEJFNDK-UHFFFAOYSA-N,O=c1ccc2nccc3c2n1CC3CC12CCC(NCc3cc4c(nn3)OCCO4)(CC1)CO2,train,validation
WXHIYPPCEREDIX-UHFFFAOYSA-N,COc1ccc(OC2CN(C(=O)NC3CCN(Cc4ccn(-c5ccc(C(F)(F)F)cc5)c4)CC3)C2)cc1,WXHIYPPCEREDIX-UHFFFAOYSA-N,O=C(NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)N1CC(Oc2ccccc2)C1,train,train
IUXGIZBYBCQVPB-WNMGUVTHSA-N,O=C1COc2ccc(CNC34CCC(C[C@]5(O)Cn6c(=O)ccc7nc(Cl)c(F)c5c76)(CC3)OC4)nc2N1,IUXGIZBYBCQVPB-WNMGUVTHSA-N,O=C1COc2ccc(CNC34CCC(CC5Cn6c(=O)ccc7nccc5c76)(CC3)OC4)nc2N1,train,validation
ARGKYIJYIOPUMA-UHFFFAOYSA-N,O=S(=O)(c1ccc(F)cc1)N1CCN(CCc2ccc(F)cc2F)CC1,ARGKYIJYIOPUMA-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)N1CCN(CCc2ccccc2)CC1,test,train
OKRHAYBIIRGRNK-OFAXGOBFSA-N,CC(C)(O)c1nc2cc(Cl)ccc2n1[C@H]1CC[C@@H](NC[C@H]2Cc3ccc(C#N)cc3C2)CC1,OKRHAYBIIRGRNK-OFAXGOBFSA-N,c1ccc2c(c1)CC(CNC1CCC(n3cnc4ccccc43)CC1)C2,train,train
XSXFFJJDVGJPJE-UHFFFAOYSA-N,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CCN(CCC2CCN(C(=O)c3ccccc3F)CC2)C1,XSXFFJJDVGJPJE-UHFFFAOYSA-N,O=C(CNC(=O)c1ccccc1)NC1CCN(CCC2CCN(C(=O)c3ccccc3)CC2)C1,train,train
NXQPJQJTOHVJDX-UHFFFAOYSA-N,COc1cc(CN2CCOCC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,NXQPJQJTOHVJDX-UHFFFAOYSA-N,c1ccn2c(-c3ccnc(Nc4ccc(CN5CCOCC5)cc4)n3)cnc2c1,train,validation
UYRUEQWFFAEGFR-XNTDXEJSSA-N,O=C1NC(=O)/C(=C\c2ccccc2OCc2nnc(-c3ccccc3)o2)S1,UYRUEQWFFAEGFR-XNTDXEJSSA-N,O=C1NC(=O)C(=Cc2ccccc2OCc2nnc(-c3ccccc3)o2)S1,train,train
HMGTWSUSNAFUEV-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)C1CCN(CCCOc2ccc(-c3ccccc3)cc2)CC1,HMGTWSUSNAFUEV-UHFFFAOYSA-N,c1ccc(-c2ccc(OCCCN3CCC(C(c4ccccc4)c4ccccc4)CC3)cc2)cc1,train,train
DUBRLRRJAJGWMU-LJQANCHMSA-N,Cc1cc(O[C@H](CCCCNCc2ccc(F)cc2)C(=O)NO)cc(C)c1F,DUBRLRRJAJGWMU-LJQANCHMSA-N,c1ccc(CNCCCCCOc2ccccc2)cc1,train,validation
RDSUNKJPRRBDOJ-UHFFFAOYSA-N,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2nc3cc(F)ccc3s2)CC1,RDSUNKJPRRBDOJ-UHFFFAOYSA-N,O=C(Cc1ccc(-n2cnnn2)cc1)NC1CCN(Cc2nc3ccccc3s2)CC1,validation,train
ZZUYSRWOZKTYHD-HNNXBMFYSA-N,N#CC=C1CCN(c2ccc(N3C[C@H](Cn4cc(F)nn4)OC3=O)cc2F)CC1,ZZUYSRWOZKTYHD-HNNXBMFYSA-N,C=C1CCN(c2ccc(N3CC(Cn4ccnn4)OC3=O)cc2)CC1,train,test
QKHYIMUJIVRLOX-YTTGMZPUSA-N,O=C(O)c1ccc(Oc2ccc(CN3CCC(N4C(=O)N(C5CCCCC5)C[C@H]4c4ccccc4)CC3)cc2)cc1,QKHYIMUJIVRLOX-YTTGMZPUSA-N,O=C1N(C2CCCCC2)CC(c2ccccc2)N1C1CCN(Cc2ccc(Oc3ccccc3)cc2)CC1,train,train
NUAORYLXEWKQRZ-UHFFFAOYSA-N,FC(F)(F)c1ccccc1CN(C1CCOCC1)C1CCNC1,NUAORYLXEWKQRZ-UHFFFAOYSA-N,c1ccc(CN(C2CCOCC2)C2CCNC2)cc1,test,train
JLSJGHSBQQCGOK-HXUWFJFHSA-N,C[C@@H]1CCCN1CCCOc1ccc(N2CCN(C(=O)c3ccc(C#N)cc3)CC2=O)cc1,JLSJGHSBQQCGOK-HXUWFJFHSA-N,O=C(c1ccccc1)N1CCN(c2ccc(OCCCN3CCCC3)cc2)C(=O)C1,train,train
HKMZTVMDWMICAE-HNNXBMFYSA-N,Cc1ccccc1C(=O)N(CC1CCC1)[C@H]1CCNC1,HKMZTVMDWMICAE-HNNXBMFYSA-N,O=C(c1ccccc1)N(CC1CCC1)C1CCNC1,test,validation
GPPYBJJOFGJFTI-UHFFFAOYSA-N,CS(=O)(=O)NCCN1CC2CN(CCCOc3ccc(C#N)cc3)CC(C1)O2,GPPYBJJOFGJFTI-UHFFFAOYSA-N,c1ccc(OCCCN2CC3CNCC(C2)O3)cc1,test,train
IXUWKDINJWESQG-SNVBAGLBSA-N,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(OC(F)(F)F)cc1)C2,IXUWKDINJWESQG-SNVBAGLBSA-N,c1ccc(OC2COc3nccn3C2)cc1,train,validation
SOYKEARSMXGVTM-OAHLLOKOSA-N,CN(C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1,SOYKEARSMXGVTM-OAHLLOKOSA-N,c1ccc(Cc2ccccn2)cc1,train,test
QOANYWUWQDIUIF-KOLCDFICSA-N,C=CCOc1ccc(Cl)cc1[C@H]1C[C@@H]1CN,QOANYWUWQDIUIF-KOLCDFICSA-N,c1ccc(C2CC2)cc1,train,train
JXLXJNSICOMGMX-UHFFFAOYSA-N,CCN(CC)CCN1CCCc2cc(NC(=N)c3cccs3)ccc21,JXLXJNSICOMGMX-UHFFFAOYSA-N,N=C(Nc1ccc2c(c1)CCCN2)c1cccs1,train,test
NKXJSCXEAVZSMF-UHFFFAOYSA-N,COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1,NKXJSCXEAVZSMF-UHFFFAOYSA-N,c1ccc2c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)ccnc2c1,train,train
WQAXZHUMPQMMEW-UHFFFAOYSA-N,O=C(c1ccccc1Oc1ccccc1)N(CC1CCC1)C1CCNC1,WQAXZHUMPQMMEW-UHFFFAOYSA-N,O=C(c1ccccc1Oc1ccccc1)N(CC1CCC1)C1CCNC1,train,validation
ABSKTFYOWZQKEU-UHFFFAOYSA-N,CN(CCN1CCN(c2ccc3c(c2)OCO3)C1=O)CC12CCC(CC1)C2(C)C,ABSKTFYOWZQKEU-UHFFFAOYSA-N,O=C1N(CCNCC23CCC(CC2)C3)CCN1c1ccc2c(c1)OCO2,train,train
GPWZMCGYHYETLO-UHFFFAOYSA-N,CC1(C)Oc2ccc(NC(=O)c3ccc(C#N)cn3)cc2C2(COC(N)=N2)C12COC2,GPWZMCGYHYETLO-UHFFFAOYSA-N,O=C(Nc1ccc2c(c1)C1(COC=N1)C1(COC1)CO2)c1ccccn1,train,train
HGCRUBISASDNGN-UVAATELUSA-N,C[C@H]1OC(=O)[C@]2(C(C)(C)C(N)=O)CC(F)(F)[C@@H](C)[C@H](/C=C/c3ccc(-c4ccccc4C#N)cn3)[C@H]12,HGCRUBISASDNGN-UVAATELUSA-N,O=C1OCC2C(C=Cc3ccc(-c4ccccc4)cn3)CCCC12,validation,train
OYPUPHAIQNBOIY-UHFFFAOYSA-N,CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(C)c1,OYPUPHAIQNBOIY-UHFFFAOYSA-N,c1ccc(Oc2ccccc2)cc1,validation,train
MDTAKMHHAHITNR-ONPYCXCXSA-N,CC[C@H](C)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccccc4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1,MDTAKMHHAHITNR-ONPYCXCXSA-N,c1ccc(Cc2cc(C3CCN(CC4CNCC4c4ccccc4)CC3)[nH]n2)cc1,train,train
YVVMAGRTTSOPEO-UHFFFAOYSA-N,CC(=O)Nc1cccc(C2CCN(CCCn3nc(-c4ccc(F)c(F)c4)c4ccccc4c3=O)CC2)c1,YVVMAGRTTSOPEO-UHFFFAOYSA-N,O=c1c2ccccc2c(-c2ccccc2)nn1CCCN1CCC(c2ccccc2)CC1,test,train
BWYOFBHDLKEMKX-RDPGKOORSA-N,C[C@@H]1C[C@H](O[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H](c2ccc(F)cc2)CNC1=O,BWYOFBHDLKEMKX-RDPGKOORSA-N,O=C1CCC(OCc2ccccc2)C(c2ccccc2)CN1,train,test
KDXHNAAPPFDXHV-ZIAGYGMSSA-N,N[C@@H]1CCCC[C@H]1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,KDXHNAAPPFDXHV-ZIAGYGMSSA-N,O=c1[nH]cnc2cc(NC3CCCCC3)nc(Nc3cccc4cc[nH]c34)c12,train,train
TYQNFWIJWOXJPV-OAQYLSRUSA-N,CC(C)[C@@H](NC(=O)c1ccccc1)C(=O)N1CCC(c2ccc(Cl)cc2)CC1,TYQNFWIJWOXJPV-OAQYLSRUSA-N,O=C(NCC(=O)N1CCC(c2ccccc2)CC1)c1ccccc1,train,train
BFNOLBZMRSIRMC-UHFFFAOYSA-N,CCOC(=O)C1CCC(N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,BFNOLBZMRSIRMC-UHFFFAOYSA-N,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCCCC2)C1,train,train
BWOSYZNIBAXVRF-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(OCCN2CCCCC2)cc1,BWOSYZNIBAXVRF-UHFFFAOYSA-N,c1ccc(OCCN2CCCCC2)cc1,test,train
COPWJQCMDFSJPF-UHFFFAOYSA-N,CC(C)c1cc(C#N)cc2nc(-c3ccc(C(=O)NCC4CCC(c5ccc(C(F)(F)F)cc5)CC4)cc3)oc12,COPWJQCMDFSJPF-UHFFFAOYSA-N,O=C(NCC1CCC(c2ccccc2)CC1)c1ccc(-c2nc3ccccc3o2)cc1,train,train
RRYPNJCEIBUACP-UHFFFAOYSA-N,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,RRYPNJCEIBUACP-UHFFFAOYSA-N,c1ccn2c(-c3ccnc(Nc4ccc(N5CCOCC5)cc4)n3)cnc2c1,validation,test
UARNPVFEWLAVGQ-IVHGUIJPSA-N,COc1ccc([C@]2(O)CC[C@@H](N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cc1,UARNPVFEWLAVGQ-IVHGUIJPSA-N,O=C(CNC(=O)c1ccccc1)NC1CN(C2CCC(c3ccccc3)CC2)C1,validation,validation
LLVALEUPUXIQNY-KRWDZBQOSA-N,O[C@H](COc1ccc(F)cc1)CN1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,LLVALEUPUXIQNY-KRWDZBQOSA-N,c1ccc(CN2CCN(CCCOc3ccccc3)CC2)cc1,train,train
ZAZVLBZIEZHJFV-UHFFFAOYSA-N,Cc1ccc(F)cc1COC1CCc2ccc(N3CCNCC3C)nc21,ZAZVLBZIEZHJFV-UHFFFAOYSA-N,c1ccc(COC2CCc3ccc(N4CCNCC4)nc32)cc1,test,validation
KDSHDUKPKXKQFE-UHFFFAOYSA-N,CN(c1ccccc1)S(=O)(=O)c1cccc(C(=O)N2CCN(C(=O)Cc3ccc(F)cc3)CC2)c1,KDSHDUKPKXKQFE-UHFFFAOYSA-N,O=C(Cc1ccccc1)N1CCN(C(=O)c2cccc(S(=O)(=O)Nc3ccccc3)c2)CC1,validation,validation
SRQOKQFDYYWIEA-RZDIXWSQSA-N,O=C(CCc1ccccn1)N[C@H]1CC[C@H](c2ccc(O)cc2)CC1,SRQOKQFDYYWIEA-RZDIXWSQSA-N,O=C(CCc1ccccn1)NC1CCC(c2ccccc2)CC1,train,train
UVPQQVIBGBMPDZ-YKSBVNFPSA-N,COc1cc([C@H]2CCN(CCO)C[C@@H]2O)ccc1Nc1ncc2ccc(-c3ccccc3OC)n2n1,UVPQQVIBGBMPDZ-YKSBVNFPSA-N,c1ccc(-c2ccc3cnc(Nc4ccc(C5CCNCC5)cc4)nn23)cc1,train,validation
ANELXFZEUXIIJD-UHFFFAOYSA-N,CN(C)CC(O)Cn1ncc2cc(-n3ccc(OCc4ccccc4)cc3=O)ccc21,ANELXFZEUXIIJD-UHFFFAOYSA-N,O=c1cc(OCc2ccccc2)ccn1-c1ccc2[nH]ncc2c1,train,train
UMQZMTNEQMDJIG-NOZRDPDXSA-N,CC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)c(Cl)c1,UMQZMTNEQMDJIG-NOZRDPDXSA-N,O=c1cc(C2CCNCC2c2ccc(-c3ccccc3)cc2)cc[nH]1,train,test
AQPYEVVJFZDJNJ-AWEZNQCLSA-N,COC[C@@H]1CCCN1N1CCN(c2cccc(Cl)c2)C1=O,AQPYEVVJFZDJNJ-AWEZNQCLSA-N,O=C1N(c2ccccc2)CCN1N1CCCC1,train,train
DWMYZHDZTBDFJZ-IFXJQAMLSA-N,CC[C@@H](NC(=O)c1cc(C(=O)N2CCC[C@@H]2C)n2c1COCC2)c1ccc(Cl)c(Cl)c1,DWMYZHDZTBDFJZ-IFXJQAMLSA-N,O=C(NCc1ccccc1)c1cc(C(=O)N2CCCC2)n2c1COCC2,test,train
WUEQPQSUWDSVRO-KCESLBEFSA-N,CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@@](C(=O)N2CCN(c3cc(C(F)(F)F)ncn3)CC2)(C(C)C)C1,WUEQPQSUWDSVRO-KCESLBEFSA-N,O=C(C1CCC(NC2CCOCC2)C1)N1CCN(c2ccncn2)CC1,train,train
CHVOVRGBCPPLHQ-PZJWPPBQSA-N,Cc1c(C#N)cccc1[C@H]1CN2CCN(C(=O)Cc3ccc(-n4cnnn4)nc3)C[C@H]2CO1,CHVOVRGBCPPLHQ-PZJWPPBQSA-N,O=C(Cc1ccc(-n2cnnn2)nc1)N1CCN2CC(c3ccccc3)OCC2C1,validation,validation
FLGSUSWMWSZVMP-UHFFFAOYSA-N,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,FLGSUSWMWSZVMP-UHFFFAOYSA-N,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,train,validation
SKDRZSHABLSPEY-UHFFFAOYSA-N,CC(=O)NC1CCC(C(C)C(N)C(=O)N2CCC(F)C2)CC1,SKDRZSHABLSPEY-UHFFFAOYSA-N,O=C(CCC1CCCCC1)N1CCCC1,train,test
MNODGVITNFISIZ-LLVKDONJSA-N,Nc1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,MNODGVITNFISIZ-LLVKDONJSA-N,O=C(NC1CN2CCC1CC2)c1cccc2ocnc12,test,train
QFRFAEZUAFKYNV-UHFFFAOYSA-N,N#Cc1ccc(Cn2cncc2CN(Cc2cccnc2)C2CCN(Cc3ccccc3)C2=O)cc1,QFRFAEZUAFKYNV-UHFFFAOYSA-N,O=C1C(N(Cc2cccnc2)Cc2cncn2Cc2ccccc2)CCN1Cc1ccccc1,test,validation
DYJWAINZWLNTNQ-UHFFFAOYSA-N,CN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,DYJWAINZWLNTNQ-UHFFFAOYSA-N,O=C(CN1CCNCC1)Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)c2sc3ccccc3c12,train,train
PPSNFPASKFYPMN-SECBINFHSA-N,Cc1nsc(-c2nnc3n2CCN(C(=O)c2ccc(F)cc2)[C@@H]3C)n1,PPSNFPASKFYPMN-SECBINFHSA-N,O=C(c1ccccc1)N1CCn2c(nnc2-c2ncns2)C1,train,test
NVFGLGQDPBZIJS-LLVKDONJSA-N,Cc1cc(Cl)nnc1N1CCN(C(=O)Nc2nc3ccc(F)cc3s2)[C@H](C)C1,NVFGLGQDPBZIJS-LLVKDONJSA-N,O=C(Nc1nc2ccccc2s1)N1CCN(c2cccnn2)CC1,train,validation
BMGADORKBYLQMZ-KRWDZBQOSA-N,O=C(Nc1ccc(F)cn1)[C@H](CN1CC(O)C1)Oc1ncnc2c1cnn2-c1c(F)cccc1Cl,BMGADORKBYLQMZ-KRWDZBQOSA-N,O=C(Nc1ccccn1)C(CN1CCC1)Oc1ncnc2c1cnn2-c1ccccc1,train,train
QKNQLRSRULGFBA-FQEVSTJZSA-N,C[C@H]1CCCN1C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,QKNQLRSRULGFBA-FQEVSTJZSA-N,O=C(c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1)N1CCCC1,train,train
DYNODBXGYMORGO-UHFFFAOYSA-N,CNC1CCC(c2c[nH]c3ccc(NC(=N)c4cccs4)cc23)CC1,DYNODBXGYMORGO-UHFFFAOYSA-N,N=C(Nc1ccc2[nH]cc(C3CCCCC3)c2c1)c1cccs1,train,train
MGWPQFINSLBEGN-ZMSNHJSUSA-N,COC1COCCC1N[C@@H]1C[C@H]2CN(C(=O)OCCN3CCCC3)C[C@@]2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1,MGWPQFINSLBEGN-ZMSNHJSUSA-N,O=C(OCCN1CCCC1)N1CC2CC(NC3CCOCC3)CC2(C(=O)N2CCc3ncccc3C2)C1,train,train
DHUDBVNXSIDYGA-IYQRMJERSA-N,COc1cc(-c2cn(C3C[C@@H](C(C)(C)C)CCN(CC45CC6CC(CC(C6)C4)C5)C3=O)nn2)ccc1-n1cnc(C)c1,DHUDBVNXSIDYGA-IYQRMJERSA-N,O=C1C(n2cc(-c3ccc(-n4ccnc4)cc3)nn2)CCCCN1CC12CC3CC(CC(C3)C1)C2,validation,train
HHTPKGOFGTYZBP-UHFFFAOYSA-N,O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccc2occc2c1,HHTPKGOFGTYZBP-UHFFFAOYSA-N,O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccc2occc2c1,train,train
CTPJMBYPSFIMAN-UHFFFAOYSA-N,COCCOc1ccc2c(c1)Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1,CTPJMBYPSFIMAN-UHFFFAOYSA-N,C(#Cc1cc(-c2[nH]nc3c2Cc2ccccc2-3)cs1)COc1ccccc1,train,train
SCNGAWIPCRXYHZ-UHFFFAOYSA-N,COc1cc2nnc(C(N)=O)c(Nc3cc(C)ccc3F)c2cc1N1CCN(C)CC1,SCNGAWIPCRXYHZ-UHFFFAOYSA-N,c1ccc(Nc2cnnc3ccc(N4CCNCC4)cc23)cc1,train,train
HULQLOOBDVQQSC-UHFFFAOYSA-N,Cc1ccc2c(-c3nnc(SCCCN4CCc5c(Cl)cc6oc(C)nc6c5CC4)n3C)cccc2n1,HULQLOOBDVQQSC-UHFFFAOYSA-N,c1cc(-c2nnc(SCCCN3CCc4ccc5ocnc5c4CC3)[nH]2)c2cccnc2c1,validation,validation
BFZNAJFROHFAOZ-UHFFFAOYSA-N,COc1ccc(C2(O)CCC(N3CC(NC(=O)CNc4noc5ccc(C(F)(F)F)cc45)C3)CC2)cn1,BFZNAJFROHFAOZ-UHFFFAOYSA-N,O=C(CNc1noc2ccccc12)NC1CN(C2CCC(c3cccnc3)CC2)C1,validation,validation
ZWDMWDRBUJRBNX-DPMMWBKBSA-N,C[C@@H](O[C@H]1CCn2c(n[nH]c2=O)C[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ZWDMWDRBUJRBNX-DPMMWBKBSA-N,O=c1[nH]nc2n1CCC(OCc1ccccc1)C(c1ccccc1)C2,train,train
AVDHQQOQEALBAS-JXMROGBWSA-N,CNc1ccc(/C=C/c2c(F)cccc2F)cc1,AVDHQQOQEALBAS-JXMROGBWSA-N,C(=Cc1ccccc1)c1ccccc1,train,train
IAOJMVQPBCXIRY-KRWDZBQOSA-N,Cc1nc2cnc(Oc3ccc4ncsc4c3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,IAOJMVQPBCXIRY-KRWDZBQOSA-N,O=c1c2cc(Oc3ccc4ncsc4c3)ncc2ncn1CC1CCCNC1,train,train
QWHITGKBRLEYSC-UHFFFAOYSA-N,CC(=O)N1Cc2cc(Cl)ccc2-n2c(nnc2C2CCN(c3ccccn3)CC2)C1,QWHITGKBRLEYSC-UHFFFAOYSA-N,c1ccc(N2CCC(c3nnc4n3-c3ccccc3CNC4)CC2)nc1,train,train
QOYZOQGTMJEGPV-UHFFFAOYSA-N,CC(C)(O)c1nc(-c2ccc(OC(F)(F)F)cc2)c[nH]1,QOYZOQGTMJEGPV-UHFFFAOYSA-N,c1ccc(-c2c[nH]cn2)cc1,train,validation
RFIKMECJVGIKGU-UHFFFAOYSA-N,Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6cc(C)on6)cc5CC4)n3C)cccc2n1,RFIKMECJVGIKGU-UHFFFAOYSA-N,c1cc(-c2nnc(SCCCN3CCc4ccc(-c5ccon5)cc4CC3)[nH]2)c2cccnc2c1,train,train
PEMLBTIEGVTHOE-UHFFFAOYSA-N,COc1ccc2c(-n3cnc(C)c3)nc(C#N)c(-c3cccc(F)c3)c2c1,PEMLBTIEGVTHOE-UHFFFAOYSA-N,c1ccc(-c2cnc(-n3ccnc3)c3ccccc23)cc1,validation,validation
